,Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
0,Driver Inattention/Distraction,Sedan,Motorcycle,,"INTOXICATED DRIVING,ALCOHOL",arrested age:25-44,arrested gender:M,arrested race:WHITE,,,,,,,,,,,,,,,,,,0< sector_no <=500
1,Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Sedan,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,,,,,,,,,,,,,,,,,,0< sector_no <=500
2,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,VIOLATION OF ORDER OF PROTECTI,RESIDENCE-HOUSE,Complaint Suspect's Age:45-64,Complaint Suspect's Race:WHITE,Complaint Suspect's Sex:M,Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,0< sector_no <=500
3,Backing Unsafely,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",arrested age:25-44,arrested gender:M,arrested race:WHITE,,,,,,,,,,,,,,,,,,0< sector_no <=500
4,Driver Inattention/Distraction,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",arrested age:25-44,arrested gender:M,arrested race:WHITE,,,,,,,,,,,,,,,,,,0< sector_no <=500
5,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",arrested age:25-44,arrested gender:M,arrested race:WHITE,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE-HOUSE,Complaint Suspect's Age:(null),Complaint Suspect's Race:(null),Complaint Suspect's Sex:(null),Complaint Victim's Age:25-44,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,0< sector_no <=500
6,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,Complaint Suspect's Age:18-24,Complaint Suspect's Race:ASIAN / PACIFIC ISLANDER,Complaint Suspect's Sex:M,Complaint Victim's Age:45-64,Complaint Victim's Race:WHITE,Complaint Victim's Sex:M,,,,,,,,,0< sector_no <=500
7,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,Complaint Suspect's Age:UNKNOWN,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:F,Complaint Victim's Age:18-24,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,0< sector_no <=500
8,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,arrested age:<18,arrested gender:M,arrested race:BLACK,,,,,,,,,,,,,,,,,,0< sector_no <=500
9,Animals Action,PASSENGER VEHICLE,PASSENGER VEHICLE,,CRIMINAL MIS 2 & 3,arrested age:18-24,arrested gender:M,arrested race:BLACK,,,,,,,,,,,,,,,,,,0< sector_no <=500
10,Driver Inattention/Distraction,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,"STOLEN PROPERTY 3,POSSESSION",arrested age:<18,arrested gender:M,arrested race:WHITE,,,,,,,,,,,,,,,,,,0< sector_no <=500
11,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",arrested age:25-44,arrested gender:M,arrested race:WHITE,MISDEMEANOR,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,Complaint Suspect's Age:25-44,Complaint Suspect's Race:UNKNOWN,Complaint Suspect's Sex:M,Complaint Victim's Age:<18,Complaint Victim's Race:WHITE,Complaint Victim's Sex:F,,,,,,,,,0< sector_no <=500
