,sector laitude,sector longtitude,Collisions_NUMBER OF PERSONS INJURED,Collisions_NUMBER OF PERSONS KILLED,Collisions_NUMBER OF PEDESTRIANS INJURED,Collisions_NUMBER OF PEDESTRIANS KILLED,Collisions_NUMBER OF CYCLIST INJURED,Collisions_NUMBER OF CYCLIST KILLED,Collisions_NUMBER OF MOTORIST INJURED,Collisions_NUMBER OF MOTORIST KILLED,Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_CONTRIBUTING FACTOR VEHICLE 2,Collisions_CONTRIBUTING FACTOR VEHICLE 3,Collisions_CONTRIBUTING FACTOR VEHICLE 4,Collisions_CONTRIBUTING FACTOR VEHICLE 5,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Collisions_VEHICLE TYPE CODE 4,Collisions_VEHICLE TYPE CODE 5,Arrests_PD_CD,Arrests_PD_DESC,Arrests_OFNS_DESC,Arrests_LAW_CODE,Arrests_LAW_CAT_CD,Arrests_ARREST_PRECINCT,Arrests_JURISDICTION_CODE,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_ADDR_PCT_CD,Complaint_CRM_ATPT_CPTD_CD,Complaint_JURIS_DESC,Complaint_KY_CD,Complaint_LAW_CAT_CD,Complaint_LOC_OF_OCCUR_DESC,Complaint_OFNS_DESC,Complaint_PD_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_PRECINCT,Shooting_JURISDICTION_CODE,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
0,40.4981002,-74.259052,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,Driver Inattention/Distraction,Unspecified,,,,Sedan,Motorcycle,,,,905.0,"INTOXICATED DRIVING,ALCOHOL",DANGEROUS DRUGS,PL 2211001,M,123.0,0.0,25-44,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,75
1,40.4981002,-74.25160876,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,Driver Inattention/Distraction,View Obstructed/Limited,Unspecified,Unspecified,,PASSENGER VEHICLE,Sedan,Sedan,SPORT UTILITY / STATION WAGON,,101.0,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,123.0,0.0,25-44,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,76
2,40.4981002,-74.24416552,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.11627906976744186,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Sedan,,101.0,ASSAULT 3,DANGEROUS DRUGS,PL 1200001,M,123.0,0.0,25-44,M,WHITE,123.0,COMPLETED,N.Y. POLICE DEPT,359.0,MISDEMEANOR,INSIDE,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,F,,,,,,,,,,,77
3,40.4981002,-74.23672228,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Backing Unsafely,View Obstructed/Limited,Unspecified,,,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,,,511.0,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,PL 2200300,M,123.0,0.0,25-44,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,78
4,40.503777400000004,-74.259052,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,Driver Inattention/Distraction,Animals Action,Unspecified,Unspecified,,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,OTHER,511.0,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,PL 2200300,M,123.0,0.0,25-44,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,150
5,40.503777400000004,-74.25160876,0.2682926829268293,0.0,0.04878048780487805,0.0,0.0,0.0,0.21951219512195122,0.0,Driver Inattention/Distraction,Pavement Slippery,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,511.0,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,PL 2200300,M,123.0,0.0,25-44,M,WHITE,123.0,COMPLETED,N.Y. POLICE DEPT,109.0,FELONY,INSIDE,GRAND LARCENY,420.0,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,,,,,,,,,,,151
6,40.503777400000004,-74.24416552,0.3188405797101449,0.007246376811594203,0.043478260869565216,0.0,0.021739130434782608,0.0,0.2536231884057971,0.0,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,101.0,ASSAULT 3,DANGEROUS DRUGS,PL 1200001,M,123.0,0.0,25-44,M,WHITE,123.0,COMPLETED,N.Y. POLICE DEPT,341.0,MISDEMEANOR,INSIDE,PETIT LARCENY,349.0,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,18-24,ASIAN / PACIFIC ISLANDER,M,45-64,WHITE,M,,,,,,,,,,,152
7,40.503777400000004,-74.23672228,0.30097087378640774,0.009708737864077669,0.038834951456310676,0.0,0.02912621359223301,0.0,0.23300970873786409,0.009708737864077669,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Sedan,,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",DANGEROUS DRUGS,PL 2200300,M,123.0,0.0,25-44,M,WHITE,123.0,COMPLETED,N.Y. POLICE DEPT,361.0,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,F,18-24,WHITE,F,,,,,,,,,,,153
8,40.503777400000004,-74.22927904,0.3142857142857143,0.0,0.02857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,Failure to Yield Right-of-Way,Driver Inexperience,Unspecified,,,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,,,101.0,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,123.0,0.0,<18,M,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,154
9,40.503777400000004,-74.2218358,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,Animals Action,Pavement Slippery,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,268.0,CRIMINAL MIS 2 & 3,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,123.0,0.0,18-24,M,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,155
10,40.509454600000005,-74.259052,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,Driver Inattention/Distraction,Unspecified,Unspecified,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,490.0,"STOLEN PROPERTY 3,POSSESSION",POSSESSION OF STOLEN PROPERTY 5,PL 1654000,M,123.0,0.0,<18,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,225
11,40.509454600000005,-74.25160876,0.15354330708661418,0.003937007874015748,0.03937007874015748,0.003937007874015748,0.003937007874015748,0.0,0.11023622047244094,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,4 dr sedan,339.0,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",PETIT LARCENY,PL 1552500,M,123.0,0.0,25-44,M,WHITE,123.0,COMPLETED,N.Y. POLICE DEPT,233.0,MISDEMEANOR,INSIDE,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,25-44,UNKNOWN,M,<18,WHITE,F,,,,,,,,,,,226
12,40.509454600000005,-74.24416552,0.20930232558139536,0.0,0.03255813953488372,0.0,0.004651162790697674,0.0,0.17209302325581396,0.0,Driver Inattention/Distraction,Driver Inattention/Distraction,Pavement Slippery,Pavement Slippery,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,Station Wagon/Sport Utility Vehicle,101.0,ASSAULT 3,DANGEROUS DRUGS,PL 1200001,M,123.0,0.0,25-44,M,WHITE,123.0,COMPLETED,N.Y. POLICE DEPT,109.0,FELONY,INSIDE,GRAND LARCENY,402.0,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,M,,,,,,,,,,,227
13,40.509454600000005,-74.23672228,0.15517241379310345,0.008620689655172414,0.017241379310344827,0.008620689655172414,0.008620689655172414,0.0,0.12931034482758622,0.0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Other Vehicular,Unspecified,,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",DANGEROUS DRUGS,PL 2200300,M,123.0,0.0,25-44,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,228
14,40.509454600000005,-74.22927904,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Lost Consciousness,Unspecified,,,,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229
15,40.509454600000005,-74.2218358,0.42857142857142855,0.0,0.07142857142857142,0.0,0.0,0.0,0.35714285714285715,0.0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,Sedan,Sedan,,,,922.0,"LARCENY,GRAND OF AUTO",VEHICLE AND TRAFFIC LAWS,PL 1553008,M,123.0,0.0,18-24,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,230
16,40.509454600000005,-74.21439256,0.42,0.0,0.04,0.0,0.0,0.0,0.38,0.0,Driver Inattention/Distraction,Other Vehicular,Unspecified,,,Sedan,Sedan,PICK-UP TRUCK,,,922.0,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,PL 2200300,M,123.0,0.0,25-44,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,231
17,40.509454600000005,-74.20694931999999,0.35135135135135137,0.0,0.02702702702702703,0.0,0.0,0.0,0.32432432432432434,0.0,Driver Inattention/Distraction,Traffic Control Disregarded,Unspecified,Unspecified,,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,Station Wagon/Sport Utility Vehicle,,922.0,"CONTROLLED SUBSTANCE, POSSESSION 7",DANGEROUS DRUGS,PL 2200300,M,123.0,0.0,25-44,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,232
18,40.509454600000005,-74.19950607999999,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,Driver Inattention/Distraction,Unspecified,Unspecified,,,Sedan,UNKNOWN,Station Wagon/Sport Utility Vehicle,,,567.0,"MARIJUANA, POSSESSION 4 & 5",DANGEROUS DRUGS,PL 2211001,M,123.0,0.0,18-24,M,WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,233
