Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
Driver Inattention/Distraction,Sedan,Motorcycle,,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,75
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE,,,,,,,,,,,,,,,,,,76
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,VIOLATION OF ORDER OF PROTECTI,RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,F,,,,,,,,,77
Backing Unsafely,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,78
Driver Inattention/Distraction,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,150
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,,,,,,,,,151
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,18-24,ASIAN / PACIFIC ISLANDER,M,45-64,WHITE,M,,,,,,,,,152
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,F,18-24,WHITE,F,,,,,,,,,153
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,<18,M,BLACK,,,,,,,,,,,,,,,,,,154
Animals Action,PASSENGER VEHICLE,PASSENGER VEHICLE,,CRIMINAL MIS 2 & 3,18-24,M,BLACK,,,,,,,,,,,,,,,,,,155
