,sector laitude,sector longtitude,Complaint_ADDR_PCT_CD,Complaint_CRM_ATPT_CPTD_CD,Complaint_JURIS_DESC,Complaint_KY_CD,Complaint_LAW_CAT_CD,Complaint_LOC_OF_OCCUR_DESC,Complaint_OFNS_DESC,Complaint_PD_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX
0,40.492423,-74.24788714,123.0,COMPLETED,N.Y. POLICE DEPT,359,MISDEMEANOR,INSIDE,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,F
1,40.50306775,-74.259052,123.0,COMPLETED,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,25-44,UNKNOWN,M,<18,WHITE,F
2,40.50306775,-74.24788714,123.0,COMPLETED,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,349.0,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,25-44,UNKNOWN,M,25-44,WHITE,M
3,40.50306775,-74.23672228,123.0,COMPLETED,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,F,18-24,WHITE,F
4,40.513712500000004,-74.259052,123.0,COMPLETED,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,323.0,"LARCENY,PETIT FROM BOAT",MARINA/PIER,(null),(null),(null),45-64,WHITE,M
5,40.513712500000004,-74.24788714,123.0,COMPLETED,N.Y. POLICE DEPT,341,FELONY,INSIDE,PETIT LARCENY,349.0,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,45-64,WHITE,F,45-64,WHITE,M
6,40.513712500000004,-74.21439256,123.0,COMPLETED,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,402.0,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,45-64,WHITE,M
7,40.52435725,-74.24788714,123.0,COMPLETED,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,349.0,"LARCENY,PETIT OF LICENSE PLATE",OTHER,(null),(null),(null),45-64,BLACK,M
8,40.52435725,-74.22555742,123.0,COMPLETED,N.Y. POLICE DEPT,361,MISDEMEANOR,FRONT OF,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,65+,WHITE,F,45-64,WHITE,M
9,40.52435725,-74.2032277,123.0,COMPLETED,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,718.0,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,M
10,40.52435725,-74.18089798,123.0,COMPLETED,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,114.0,OBSTR BREATH/CIRCUL,RESIDENCE-HOUSE,25-44,WHITE,M,25-44,WHITE,F
