,sector laitude,sector longtitude,Shooting_PRECINCT,Shooting_JURISDICTION_CODE,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE
0,40.52435725,-74.19206283999999,123,0.0,PVT HOUSE,False,25-44,M,WHITE,<18,M,WHITE
1,40.535002000000006,-74.22555742,123,0.0,,True,65+,M,WHITE,65+,F,WHITE
2,40.535002000000006,-74.21439256,123,0.0,PVT HOUSE,False,25-44,M,WHITE,25-44,M,WHITE HISPANIC
3,40.535002000000006,-74.18089798,123,0.0,,False,25-44,M,WHITE,25-44,M,WHITE
4,40.54564675,-74.23672228,123,0.0,,False,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC
5,40.54564675,-74.21439256,123,0.0,MULTI DWELL - APT BUILD,False,25-44,M,WHITE,<18,M,WHITE
6,40.5562915,-74.21439256,123,0.0,,False,,,,18-24,M,BLACK
7,40.5562915,-74.19206283999999,123,0.0,GROCERY/BODEGA,False,25-44,M,WHITE,25-44,M,BLACK HISPANIC
8,40.5562915,-74.18089798,123,0.0,,False,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC
9,40.5562915,-74.16973312,122,0.0,PVT HOUSE,True,25-44,F,WHITE,25-44,M,WHITE
10,40.5562915,-74.11390882,122,0.0,,False,18-24,F,WHITE,18-24,M,WHITE
11,40.566936250000005,-74.12507368,122,0.0,PVT HOUSE,True,18-24,M,WHITE,18-24,M,WHITE
12,40.566936250000005,-74.11390882,122,0.0,,True,18-24,M,WHITE,45-64,F,WHITE
13,40.566936250000005,-74.01342508,60,0.0,PVT HOUSE,True,65+,M,WHITE,65+,F,WHITE
14,40.566936250000005,-74.00226022,60,0.0,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,BLACK
15,40.566936250000005,-73.99109536,60,0.0,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,BLACK
16,40.566936250000005,-73.9799305,60,0.0,RESTAURANT/DINER,False,25-44,M,BLACK,25-44,M,BLACK
17,40.566936250000005,-73.8682819,100,0.0,,False,,,,25-44,M,BLACK
18,40.577581,-74.2032277,121,0.0,,False,,,,25-44,M,BLACK
19,40.577581,-74.10274396,122,2.0,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK
20,40.577581,-74.0915791,122,0.0,PVT HOUSE,False,25-44,M,WHITE,45-64,M,WHITE
21,40.577581,-74.08041424,122,0.0,,False,,,,25-44,M,WHITE
22,40.577581,-74.01342508,60,0.0,,True,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC
23,40.577581,-74.00226022,60,2.0,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,18-24,M,BLACK
24,40.577581,-73.99109536,60,0.0,COMMERCIAL BLDG,False,18-24,M,BLACK HISPANIC,25-44,M,ASIAN / PACIFIC ISLANDER
25,40.577581,-73.9799305,60,2.0,MULTI DWELL - PUBLIC HOUS,True,,,,25-44,M,BLACK
26,40.577581,-73.96876564,60,0.0,PVT HOUSE,False,18-24,M,BLACK,25-44,M,BLACK
27,40.577581,-73.95760078,61,0.0,,False,,,,18-24,M,BLACK
28,40.577581,-73.94643592,61,0.0,PVT HOUSE,True,<18,M,WHITE,18-24,M,WHITE
29,40.577581,-73.93527106,61,0.0,,False,,,,18-24,M,BLACK
30,40.577581,-73.84595218,100,0.0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,25-44,M,BLACK
